组合,Validity,Uniqueness,Novelty,样本数
1_SMILES_to_SMILES,0.7167121625720352,0.9644519678374948,0.8709267879813796,3297
2_Graph_to_SMILES,0.7182286927509858,0.9615709459459459,0.8695101351351351,3297
3_Image_to_SMILES,0.7167121625720352,0.9640287769784173,0.8696572154041473,3297
4_SMILES_to_Graph,0.7164088565362451,0.9627434377646062,0.8704487722269263,3297
5_Graph_to_Graph,0.7148923263572945,0.9630886720407298,0.8689011455239711,3297
6_Image_to_Graph,0.716105550500455,0.9644218551461246,0.8695468022024566,3297
7_SMILES_to_Image,0.716105550500455,0.9635747564591275,0.8695468022024566,3297
8_Graph_to_Image,0.7158022444646649,0.9635593220338983,0.8699152542372881,3297
9_Image_to_Image,0.7151956323930846,0.9614079728583546,0.8706530958439356,3297
